ORDINE_CODICE_ATECO_2025,CODICE_ATECO_2025,TITOLO_ITALIANO_ATECO_2025,TITOLO_INGLESE_ATECO_2025,TITOLO_TEDESCO_ATECO_2025,GERARCHIA_ATECO_2025,CODICE_PADRE_ATECO_2025,GERARCHIA_PADRE_ATECO_2025
2849,85,Istruzione e formazione,Education,Erziehung und Unterricht,2,Q,1
2850,85.1,Istruzione prescolastica,Pre-primary education,Kindergärten und Vorschulen,3,85,2
2851,85.10,Istruzione prescolastica,Pre-primary education,Kindergärten und Vorschulen,4,85.1,3
2852,85.10.0,Istruzione prescolastica,Pre-primary education,Kindergärten und Vorschulen,5,85.10,4
2853,85.10.00,Istruzione prescolastica,Pre-primary education,Kindergärten und Vorschulen,6,85.10.0,5
2854,85.2,Istruzione primaria,Primary education,Grundschulen/Volksschulen,3,85,2
2855,85.20,Istruzione primaria,Primary education,Grundschulen/Volksschulen,4,85.2,3
2856,85.20.0,Istruzione primaria,Primary education,Grundschulen/Volksschulen,5,85.20,4
2857,85.20.00,Istruzione primaria,Primary education,Grundschulen/Volksschulen,6,85.20.0,5
2858,85.3,Istruzione secondaria e post-secondaria non terziaria,Secondary and post-secondary non-tertiary education,"Weiterführende Schulen und postsekundärer, nicht tertiärer Unterricht",3,85,2
2859,85.31,Istruzione secondaria di formazione generale,General secondary education,Allgemeinbildende weiterführende Schulen,4,85.3,3
2860,85.31.1,Istruzione secondaria di formazione generale di primo grado,Lower general secondary education,Mittelschulen,5,85.31,4
2861,85.31.10,Istruzione secondaria di formazione generale di primo grado,Lower general secondary education,Mittelschulen,6,85.31.1,5
2862,85.31.2,Istruzione secondaria di formazione generale di secondo grado,Upper general secondary education,Oberschulen,5,85.31,4
2863,85.31.20,Istruzione secondaria di formazione generale di secondo grado,Upper general secondary education,Oberschulen,6,85.31.2,5
2864,85.32,Istruzione secondaria professionale,Vocational secondary education,Berufsbildende weiterführende Schulen,4,85.3,3
2865,85.32.0,Istruzione secondaria professionale,Vocational secondary education,Berufsbildende weiterführende Schulen,5,85.32,4
2866,85.32.01,Istruzione secondaria professionale erogata da scuole di vela e navigazione,Vocational secondary education provided by sailing and shipping schools,Segel- und Navigationsschulen,6,85.32.0,5
2867,85.32.02,Istruzione secondaria professionale erogata da scuole di volo,Vocational secondary education provided by flying schools,Flugschulen,6,85.32.0,5
2868,85.32.03,Istruzione secondaria professionale erogata da scuole di guida,Vocational secondary education provided by driving schools,Fahrschulen,6,85.32.0,5
2869,85.32.09,Altra istruzione secondaria professionale n.c.a.,Other vocational secondary education n.e.c.,Sonstige berufsbildende weiterführende Schulen a. n. g.,6,85.32.0,5
2870,85.33,Istruzione post-secondaria non terziaria,Post-secondary non-tertiary education,"Postsekundärer, nicht tertiärer Unterricht",4,85.3,3
2871,85.33.0,Istruzione post-secondaria non terziaria,Post-secondary non-tertiary education,"Postsekundärer, nicht tertiärer Unterricht",5,85.33,4
2872,85.33.00,Istruzione post-secondaria non terziaria,Post-secondary non-tertiary education,"Postsekundärer, nicht tertiärer Unterricht",6,85.33.0,5
2873,85.4,Istruzione terziaria,Tertiary education,Tertiärer Unterricht,3,85,2
2874,85.40,Istruzione terziaria,Tertiary education,Tertiärer Unterricht,4,85.4,3
2875,85.40.1,Istruzione terziaria non universitaria professionale,Short-cycle tertiary education,"Berufsbildender tertiärer Unterricht, ohne Universitäten",5,85.40,4
2876,85.40.10,Istruzione terziaria non universitaria professionale,Short-cycle tertiary education,"Berufsbildender tertiärer Unterricht, ohne Universitäten",6,85.40.1,5
2877,85.40.2,"Istruzione terziaria universitaria di primo, secondo e terzo ciclo e a ciclo unico",Other tertiary education,"Tertiärer Unterricht an Universitäten im ersten, zweiten, dritten und einheitlichen Studienzyklus",5,85.40,4
2878,85.40.20,"Istruzione terziaria universitaria di primo, secondo e terzo ciclo e a ciclo unico",Other tertiary education,"Tertiärer Unterricht an Universitäten im ersten, zweiten, dritten und einheitlichen Studienzyklus",6,85.40.2,5
2879,85.5,Altri servizi di istruzione e formazione,Other education,Sonstiger Unterricht,3,85,2
2880,85.51,Formazione sportiva e ricreativa,Sports and recreation education,Sport- und Freizeitunterricht,4,85.5,3
2881,85.51.0,Formazione sportiva e ricreativa,Sports and recreation education,Sport- und Freizeitunterricht,5,85.51,4
2882,85.51.01,Insegnamento di pilates fornito da insegnanti e istruttori indipendenti,Pilates instruction by individual teachers and trainers,Pilates-Unterricht durch unabhängige Lehrpersonen und Ausbilder,6,85.51.0,5
2883,85.51.09,Formazione sportiva e ricreativa n.c.a.,Sports and recreation education n.e.c.,Sport- und Freizeitunterricht a. n. g.,6,85.51.0,5
2884,85.52,Formazione culturale,Cultural education,Kulturunterricht,4,85.5,3
2885,85.52.0,Formazione culturale,Cultural education,Kulturunterricht,5,85.52,4
2886,85.52.01,Corsi di danza,Dance instruction,Tanzkurse,6,85.52.0,5
2887,85.52.02,Attività di educazione al patrimonio culturale,Cultural heritage education,Bildende Tätigkeiten zum Kulturerbe,6,85.52.0,5
2888,85.52.09,Altra formazione culturale,Other cultural education,Sonstiger Kulturunterricht,6,85.52.0,5
2889,85.53,Attività di scuole guida,Driving school activities,Fahr- und Flugschulen,4,85.5,3
2890,85.53.0,Attività di scuole guida,Driving school activities,Fahr- und Flugschulen,5,85.53,4
2891,85.53.00,Attività di scuole guida,Driving school activities,Fahr- und Flugschulen,6,85.53.0,5
2892,85.59,Altri servizi di istruzione e formazione n.c.a.,Other education n.e.c.,Sonstiger Unterricht a. n. g.,4,85.5,3
2893,85.59.1,Corsi di lingua straniera,Foreign language instruction,Fremdsprachenkurse,5,85.59,4
2894,85.59.10,Corsi di lingua straniera,Foreign language instruction,Fremdsprachenkurse,6,85.59.1,5
2895,85.59.2,Corsi di formazione e corsi di aggiornamento professionale,Computer training and professional examination review courses,Berufsausbildung und -weiterbildung,5,85.59,4
2896,85.59.20,Corsi di formazione e corsi di aggiornamento professionale,Computer training and professional examination review courses,Berufsausbildung und -weiterbildung,6,85.59.2,5
2897,85.59.3,Altri servizi di istruzione e formazione n.c.a. forniti da università popolari,Other education n.e.c. provided by the so-called università popolari,Sonstige Lehr- und Ausbildungsdienste a. n. g. durch Volkshochschulen,5,85.59,4
2898,85.59.30,Altri servizi di istruzione e formazione n.c.a. forniti da università popolari,Other education n.e.c. provided by the so-called università popolari,Sonstige Lehr- und Ausbildungsdienste a. n. g. durch Volkshochschulen,6,85.59.3,5
2899,85.59.9,Altri servizi vari di istruzione e formazione n.c.a.,Other various educational activities n.e.c.,Weitere Lehr- und Ausbildungsdienste a. n. g,5,85.59,4
2900,85.59.91,Corsi di educazione consapevole attraverso il movimento,Courses of awareness through movement,Kurse zur bewussten Erziehung durch Bewegung,6,85.59.9,5
2901,85.59.99,Tutti gli altri servizi vari di istruzione e formazione n.c.a.,All other various educational activities n.e.c.,Alle anderen Lehr- und Ausbildungsdienste a. n. g.,6,85.59.9,5
2902,85.6,Servizi di supporto all'istruzione e formazione,Educational support activities,Erbringung von Dienstleistungen für Erziehung und Unterricht,3,85,2
2903,85.61,Attività di servizi di intermediazione per corsi e tutor,Intermediation service activities for courses and tutors,Vermittlungstätigkeiten für Erziehung und Unterricht,4,85.6,3
2904,85.61.0,Attività di servizi di intermediazione per corsi e tutor,Intermediation service activities for courses and tutors,Vermittlungstätigkeiten für Erziehung und Unterricht,5,85.61,4
2905,85.61.00,Attività di servizi di intermediazione per corsi e tutor,Intermediation service activities for courses and tutors,Vermittlungstätigkeiten für Erziehung und Unterricht,6,85.61.0,5
2906,85.69,Altri servizi di supporto all'istruzione e formazione n.c.a.,Educational support activities n.e.c.,Erbringung von Dienstleistungen für Erziehung und Unterricht a. n. g.,4,85.6,3
2907,85.69.0,Altri servizi di supporto all'istruzione e formazione n.c.a.,Educational support activities n.e.c.,Erbringung von Dienstleistungen für Erziehung und Unterricht a. n. g.,5,85.69,4
2908,85.69.01,Consulenza scolastica e servizi di orientamento scolastico,Educational guidance counselling activities,Schul- und Berufsberatung,6,85.69.0,5
2909,85.69.09,Altri servizi vari di supporto all'istruzione e formazione n.c.a.,Other educational support activities n.e.c.,Erbringung von sonstigen Dienstleistungen für Erziehung und Unterricht a. n. g.,6,85.69.0,5
2910,R,ATTIVITÀ PER LA SALUTE UMANA E DI ASSISTENZA SOCIALE,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,GESUNDHEITS- UND SOZIALWESEN,1,,
2911,86,Attività per la salute umana,Human health activities,Gesundheitswesen,2,R,1
2912,86.1,Attività ospedaliere,Hospital activities,Krankenhäuser,3,86,2
2913,86.10,Attività ospedaliere,Hospital activities,Krankenhäuser,4,86.1,3
2914,86.10.0,Attività ospedaliere,Hospital activities,Krankenhäuser,5,86.10,4
2915,86.10.00,Attività ospedaliere,Hospital activities,Krankenhäuser,6,86.10.0,5
2916,86.2,Attività mediche e odontoiatriche,Medical and dental practice activities,Arzt- und Zahnarztpraxen,3,86,2
2917,86.21,Attività di medicina generale,General medical practice activities,Arztpraxen für Allgemeinmedizin,4,86.2,3
2918,86.21.0,Attività di medicina generale,General medical practice activities,Arztpraxen für Allgemeinmedizin,5,86.21,4
2919,86.21.00,Attività di medicina generale,General medical practice activities,Arztpraxen für Allgemeinmedizin,6,86.21.0,5
2920,86.22,Attività di medicina specialistica,Medical specialists activities,Facharztpraxen,4,86.2,3
2921,86.22.0,Attività di medicina specialistica,Medical specialists activities,Facharztpraxen,5,86.22,4
2922,86.22.01,Trattamenti di chirurgia estetica,Cosmetic surgery activities,Schönheitschirurgische Behandlungen,6,86.22.0,5
2923,86.22.02,Altre attività di medicina specialistica svolte da medici specialisti indipendenti,Other medical specialists activities by medical specialists and surgeons,Sonstige fachärztliche Tätigkeiten durch unabhängige Fachärzte,6,86.22.0,5
2924,86.22.03,Altre attività di medicina specialistica svolte presso cliniche e centri specialistici,Other medical specialists activities by dedicated centres or day clinics,Sonstige fachärztliche Tätigkeiten in Fachkliniken und -zentren,6,86.22.0,5
2925,86.23,Attività odontoiatriche,Dental practice care activities,Zahnarztpraxen,4,86.2,3
2926,86.23.0,Attività odontoiatriche,Dental practice care activities,Zahnarztpraxen,5,86.23,4
2927,86.23.00,Attività odontoiatriche,Dental practice care activities,Zahnarztpraxen,6,86.23.0,5
2928,86.9,Altre attività per la salute umana,Other human health activities,Sonstiges Gesundheitswesen,3,86,2
2929,86.91,Attività di diagnostica per immagini e di laboratorio medico,Diagnostic imaging services and medical laboratory activities,Erbringung von Dienstleistungen der diagnostischen Bildgebung sowie von medizinischen Laboratorien,4,86.9,3
2930,86.91.0,Attività di diagnostica per immagini e di laboratorio medico,Diagnostic imaging services and medical laboratory activities,Erbringung von Dienstleistungen der diagnostischen Bildgebung sowie von medizinischen Laboratorien,5,86.91,4
2931,86.91.01,Attività di diagnostica per immagini,Diagnostic imaging services,Erbringung von Dienstleistungen der diagnostischen Bildgebung,6,86.91.0,5
2932,86.91.02,Attività di laboratorio medico,Medical laboratory activities,Erbringung von Dienstleistungen von medizinischen Laboratorien,6,86.91.0,5
2933,86.92,Trasporto di pazienti in ambulanza,Patient transportation by ambulance,Rettungs- und Krankentransportdienste,4,86.9,3
2934,86.92.0,Trasporto di pazienti in ambulanza,Patient transportation by ambulance,Rettungs- und Krankentransportdienste,5,86.92,4
2935,86.92.00,Trasporto di pazienti in ambulanza,Patient transportation by ambulance,Rettungs- und Krankentransportdienste,6,86.92.0,5
2936,86.93,"Attività di psicologi e psicoterapeuti, esclusi i medici","Activities of psychologists and psychotherapists, except medical doctors","Erbringung von Dienstleistungen von Psychotherapeutinnen und -therapeuten, klinischen und Gesundheitspsychologinnen und -psychologen, ohne ärztliche Therapien",4,86.9,3
2937,86.93.0,"Attività di psicologi e psicoterapeuti, esclusi i medici","Activities of psychologists and psychotherapists, except medical doctors","Erbringung von Dienstleistungen von Psychotherapeutinnen und -therapeuten, klinischen und Gesundheitspsychologinnen und -psychologen, ohne ärztliche Therapien",5,86.93,4
2938,86.93.00,"Attività di psicologi e psicoterapeuti, esclusi i medici","Activities of psychologists and psychotherapists, except medical doctors","Erbringung von Dienstleistungen von Psychotherapeutinnen und -therapeuten, klinischen und Gesundheitspsychologinnen und -psychologen, ohne ärztliche Therapien",6,86.93.0,5
2939,86.94,Attività infermieristiche e ostetriche,Nursing and midwifery activities,"Krankenpflege, Geburtshilfe und Hebammen",4,86.9,3
2940,86.94.0,Attività infermieristiche e ostetriche,Nursing and midwifery activities,"Krankenpflege, Geburtshilfe und Hebammen",5,86.94,4
2941,86.94.01,Attività infermieristiche,Nursing activities,Krankenpflege,6,86.94.0,5
2942,86.94.02,Attività ostetriche,Midwifery activities,Geburtshilfe und Hebammen,6,86.94.0,5
2943,86.95,Attività di fisioterapia,Physiotherapy activities,Erbringung von physiotherapeutischen Dienstleistungen,4,86.9,3
2944,86.95.0,Attività di fisioterapia,Physiotherapy activities,Erbringung von physiotherapeutischen Dienstleistungen,5,86.95,4
2945,86.95.00,Attività di fisioterapia,Physiotherapy activities,Erbringung von physiotherapeutischen Dienstleistungen,6,86.95.0,5
2946,86.96,Attività di medicine complementari e alternative,"Traditional, complementary and alternative medicine activities","Traditionelle, komplementäre und alternative medizinische Tätigkeiten",4,86.9,3
2947,86.96.0,Attività di medicine complementari e alternative,"Traditional, complementary and alternative medicine activities","Traditionelle, komplementäre und alternative medizinische Tätigkeiten",5,86.96,4
2948,86.96.01,Chinesiologia,Kinesiology,Kinesiologie,6,86.96.0,5
2949,86.96.09,Attività di medicine complementari e alternative n.c.a.,"Traditional, complementary and alternative medicine activities n.e.c.","Traditionelle, komplementäre und alternative medizinische Tätigkeiten a. n. g.",6,86.96.0,5
2950,86.97,"Attività di servizi di intermediazione per attività mediche, odontoiatriche e altri servizi per la salute umana","Intermediation service activities for medical, dental and other human health services","Vermittlungstätigkeiten für medizinische, zahnärztliche und andere Gesundheitstätigkeiten",4,86.9,3
2951,86.97.0,"Attività di servizi di intermediazione per attività mediche, odontoiatriche e altri servizi per la salute umana","Intermediation service activities for medical, dental and other human health services","Vermittlungstätigkeiten für medizinische, zahnärztliche und andere Gesundheitstätigkeiten",5,86.97,4
2952,86.97.00,"Attività di servizi di intermediazione per attività mediche, odontoiatriche e altri servizi per la salute umana","Intermediation service activities for medical, dental and other human health services","Vermittlungstätigkeiten für medizinische, zahnärztliche und andere Gesundheitstätigkeiten",6,86.97.0,5
2953,86.99,Altre attività per la salute umana n.c.a.,Other human health activities n.e.c.,Sonstiges Gesundheitswesen a. n. g.,4,86.9,3
2954,86.99.0,Altre attività per la salute umana n.c.a.,Other human health activities n.e.c.,Sonstiges Gesundheitswesen a. n. g.,5,86.99,4
2955,86.99.01,Tecniche di trattamento del corpo,Body treatment techniques,Körperbehandlungstechniken,6,86.99.0,5
2956,86.99.02,Danza-movimento terapia,Dance and movement therapy,Tanz- und Bewegungstherapie,6,86.99.0,5
2957,86.99.03,Attività di psicomotricità,Psychomotor activities,Psychomotorische Aktivitäten,6,86.99.0,5
2958,86.99.09,Altre attività varie per la salute umana n.c.a.,Other various human health activities n.e.c.,Jedes sonstige Gesundheitswesen a. n. g.,6,86.99.0,5
2959,87,Attività di assistenza residenziale,Residential care activities,"Heime, ohne Erholungs- und Ferienheime",2,R,1
2960,87.1,Attività di assistenza infermieristica residenziale,Residential nursing care activities,Pflegeheime,3,87,2
2961,87.10,Attività di assistenza infermieristica residenziale,Residential nursing care activities,Pflegeheime,4,87.1,3
2962,87.10.0,Attività di assistenza infermieristica residenziale,Residential nursing care activities,Pflegeheime,5,87.10,4
2963,87.10.00,Attività di assistenza infermieristica residenziale,Residential nursing care activities,Pflegeheime,6,87.10.0,5
2964,87.2,Attività di assistenza residenziale per persone affette da disturbi mentali o abuso di sostanze,Residential care activities for persons living with or having a diagnosis of a mental illness or substance abuse,"Stationäre Einrichtungen zur psychosozialen Betreuung, Suchtbekämpfung",3,87,2
2965,87.20,Attività di assistenza residenziale per persone affette da disturbi mentali o abuso di sostanze,Residential care activities for persons living with or having a diagnosis of a mental illness or substance abuse,"Stationäre Einrichtungen zur psychosozialen Betreuung, Suchtbekämpfung",4,87.2,3
2966,87.20.0,Attività di assistenza residenziale per persone affette da disturbi mentali o abuso di sostanze,Residential care activities for persons living with or having a diagnosis of a mental illness or substance abuse,"Stationäre Einrichtungen zur psychosozialen Betreuung, Suchtbekämpfung",5,87.20,4
2967,87.20.00,Attività di assistenza residenziale per persone affette da disturbi mentali o abuso di sostanze,Residential care activities for persons living with or having a diagnosis of a mental illness or substance abuse,"Stationäre Einrichtungen zur psychosozialen Betreuung, Suchtbekämpfung",6,87.20.0,5
2968,87.3,Attività di assistenza residenziale per anziani o persone con disabilità fisiche,Residential care activities for older persons or persons with physical disabilities,Seniorenwohnheime und Wohnheime für Menschen mit Behinderung,3,87,2
2969,87.30,Attività di assistenza residenziale per anziani o persone con disabilità fisiche,Residential care activities for older persons or persons with physical disabilities,Seniorenwohnheime und Wohnheime für Menschen mit Behinderung,4,87.3,3
2970,87.30.0,Attività di assistenza residenziale per anziani o persone con disabilità fisiche,Residential care activities for older persons or persons with physical disabilities,Seniorenwohnheime und Wohnheime für Menschen mit Behinderung,5,87.30,4
2971,87.30.00,Attività di assistenza residenziale per anziani o persone con disabilità fisiche,Residential care activities for older persons or persons with physical disabilities,Seniorenwohnheime und Wohnheime für Menschen mit Behinderung,6,87.30.0,5
2972,87.9,Altre attività di assistenza residenziale,Other residential care activities,"Sonstige Heime, ohne Erholungs- und Ferienheime, und Tätigkeiten für stationäre Betreuung",3,87,2
2973,87.91,Attività di servizi di intermediazione per attività di assistenza residenziale,Intermediation service activities for residential care activities,Vermittlungstätigkeiten für Heime und stationäre Betreuung,4,87.9,3
2974,87.91.0,Attività di servizi di intermediazione per attività di assistenza residenziale,Intermediation service activities for residential care activities,Vermittlungstätigkeiten für Heime und stationäre Betreuung,5,87.91,4
2975,87.91.00,Attività di servizi di intermediazione per attività di assistenza residenziale,Intermediation service activities for residential care activities,Vermittlungstätigkeiten für Heime und stationäre Betreuung,6,87.91.0,5
2976,87.99,Altre attività di assistenza residenziale n.c.a.,Other residential care activities n.e.c.,"Sonstige Heime, ohne Erholungs- und Ferienheime, a. n. g.",4,87.9,3
2977,87.99.0,Altre attività di assistenza residenziale n.c.a.,Other residential care activities n.e.c.,"Sonstige Heime, ohne Erholungs- und Ferienheime, a. n. g.",5,87.99,4
2978,87.99.00,Altre attività di assistenza residenziale n.c.a.,Other residential care activities n.e.c.,"Sonstige Heime, ohne Erholungs- und Ferienheime, a. n. g.",6,87.99.0,5
2979,88,Attività di assistenza sociale non residenziale,Social work activities without accommodation,"Sozialwesen, ohne Heime",2,R,1
2980,88.1,Attività di assistenza sociale non residenziale per anziani o persone con disabilità,Social work activities without accommodation for older persons or persons with disabilities,Soziale Betreuung von älteren Menschen und von Menschen mit Behinderung,3,88,2
2981,88.10,Attività di assistenza sociale non residenziale per anziani o persone con disabilità,Social work activities without accommodation for older persons or persons with disabilities,Soziale Betreuung von älteren Menschen und von Menschen mit Behinderung,4,88.1,3
2982,88.10.0,Attività di assistenza sociale non residenziale per anziani o persone con disabilità,Social work activities without accommodation for older persons or persons with disabilities,Soziale Betreuung von älteren Menschen und von Menschen mit Behinderung,5,88.10,4
2983,88.10.00,Attività di assistenza sociale non residenziale per anziani o persone con disabilità,Social work activities without accommodation for older persons or persons with disabilities,Soziale Betreuung von älteren Menschen und von Menschen mit Behinderung,6,88.10.0,5
2984,88.9,Altre attività di assistenza sociale non residenziale,Other social work activities without accommodation,"Sonstiges Sozialwesen, ohne Heime",3,88,2
2985,88.91,Attività di assistenza diurna per l'infanzia,Child day-care activities,Tagesbetreuung von Kindern,4,88.9,3
2986,88.91.0,Attività di assistenza diurna per l'infanzia,Child day-care activities,Tagesbetreuung von Kindern,5,88.91,4
2987,88.91.00,Attività di assistenza diurna per l'infanzia,Child day-care activities,Tagesbetreuung von Kindern,6,88.91.0,5
2988,88.99,Altre attività di assistenza sociale non residenziale n.c.a.,Other social work activities without accommodation n.e.c.,Sonstiges Sozialwesen a. n. g.,4,88.9,3
2989,88.99.0,Altre attività di assistenza sociale non residenziale n.c.a.,Other social work activities without accommodation n.e.c.,Sonstiges Sozialwesen a. n. g.,5,88.99,4
2990,88.99.01,Servizi di counselling,Counselling services,Counselling,6,88.99.0,5
2991,88.99.02,Consulenza familiare,Marriage and family guidance,Familienberatung,6,88.99.0,5
2992,88.99.03,Mediazione culturale e interculturale,Cultural and intercultural mediation activities,Kulturelle und interkulturelle Mediation,6,88.99.0,5
2993,88.99.04,Altre attività di assistenza sociale non residenziale fornite da pedagogisti,Social work activities without accommodation provided by pedagogues,Sonstiges nicht stationäres Sozialwesen durch Pädagogen,6,88.99.0,5
2994,88.99.09,Altre attività varie di assistenza sociale non residenziale n.c.a.,Other various social work activities without accommodation n.e.c.,Weiteres sonstiges Sozialwesen a. n. g.,6,88.99.0,5
2995,S,"ATTIVITÀ ARTISTICHE, SPORTIVE E DI DIVERTIMENTO","ARTS, SPORTS AND RECREATION","KUNST, SPORT UND ERHOLUNG",1,,
2996,90,Attività di creazione artistica e rappresentazioni artistiche,Arts creation and performing arts activities,Kunstschaffende Tätigkeiten und Tätigkeiten in der darstellenden Kunst,2,S,1
2997,90.1,Attività di creazione artistica,Arts creation activities,Kunstschaffende Tätigkeiten,3,90,2
2998,90.11,Attività di creazione letteraria e composizione musicale,Literary creation and musical composition activities,Literarisches Schaffen und Musikkomposition,4,90.1,3
2999,90.11.0,Attività di creazione letteraria e composizione musicale,Literary creation and musical composition activities,Literarisches Schaffen und Musikkomposition,5,90.11,4
3000,90.11.01,Attività di giornalisti indipendenti,Activities of independent journalists,Unabhängiger Journalismus,6,90.11.0,5
3001,90.11.02,Attività di blogger indipendenti,Activities of independent bloggers,Unabhängige Blogger,6,90.11.0,5
3002,90.11.09,Altre attività di creazione letteraria e composizione musicale,Other literary creation and musical composition activities,Sonstiges literarisches Schaffen und Musikkomposition,6,90.11.0,5
3003,90.12,Attività di creazione di arti visive,Visual arts creation activities,Bildende Kunst,4,90.1,3
3004,90.12.0,Attività di creazione di arti visive,Visual arts creation activities,Bildende Kunst,5,90.12,4
3005,90.12.00,Attività di creazione di arti visive,Visual arts creation activities,Bildende Kunst,6,90.12.0,5
3006,90.13,Altre attività di creazione artistica,Other arts creation activities,Sonstige kunstschaffende Tätigkeiten,4,90.1,3
3007,90.13.0,Altre attività di creazione artistica,Other arts creation activities,Sonstige kunstschaffende Tätigkeiten,5,90.13,4
3008,90.13.00,Altre attività di creazione artistica,Other arts creation activities,Sonstige kunstschaffende Tätigkeiten,6,90.13.0,5
3009,90.2,Attività di arti performative e rappresentazioni artistiche,Activities of performing arts,Darstellende Kunst,3,90,2
3010,90.20,Attività di arti performative e rappresentazioni artistiche,Activities of performing arts,Darstellende Kunst,4,90.2,3
3011,90.20.0,Attività di arti performative e rappresentazioni artistiche,Activities of performing arts,Darstellende Kunst,5,90.20,4
3012,90.20.01,Attività nel campo della recitazione,Activities of acting,Schauspielkunst,6,90.20.0,5
3013,90.20.09,Altre attività di arti performative e rappresentazioni artistiche,Other activities of performing arts,Sonstige darstellende Kunst,6,90.20.0,5
3014,90.3,Attività di supporto alle creazioni e alle arti performative e rappresentazioni artistiche,Support activities to arts creation and performing arts,Erbringung von Dienstleistungen für kunstschaffende Tätigkeiten und darstellende Künste,3,90,2
3015,90.31,Gestione di strutture e spazi per le arti,Operation of arts facilities and sites,Betrieb von Einrichtungen für kunstschaffende Tätigkeiten und darstellende Künste,4,90.3,3
3016,90.31.0,Gestione di strutture e spazi per le arti,Operation of arts facilities and sites,Betrieb von Einrichtungen für kunstschaffende Tätigkeiten und darstellende Künste,5,90.31,4
3017,90.31.00,Gestione di strutture e spazi per le arti,Operation of arts facilities and sites,Betrieb von Einrichtungen für kunstschaffende Tätigkeiten und darstellende Künste,6,90.31.0,5
3018,90.39,Altre attività di supporto alle arti performative e alle rappresentazioni artistiche,Other support activities to arts and performing arts,Erbringung von sonstigen Dienstleistungen für kunstschaffende Tätigkeiten und darstellende Künste,4,90.3,3
3019,90.39.0,Altre attività di supporto alle arti performative e alle rappresentazioni artistiche,Other support activities to arts and performing arts,Erbringung von sonstigen Dienstleistungen für kunstschaffende Tätigkeiten und darstellende Künste,5,90.39,4
3020,90.39.01,Attività nel campo della regia,Activities of directing,Regietätigkeit,6,90.39.0,5
3021,90.39.09,Altre attività di supporto alle arti performative e alle rappresentazioni artistiche n.c.a.,Other support activities to arts and performing arts n.e.c.,Erbringung von sonstigen Dienstleistungen für kunstschaffende Tätigkeiten und darstellende Künste a. n. g.,6,90.39.0,5
3022,91,"Attività di biblioteche, archivi, musei e altre attività culturali","Libraries, archives, museums and other cultural activities","Bibliotheken, Archive, Museen, botanische und zoologische Gärten",2,S,1
3023,91.1,Attività di biblioteche e archivi,Library and archive activities,Bibliotheken und Archive,3,91,2
3024,91.11,Attività di biblioteche,Library activities,Bibliotheken,4,91.1,3
3025,91.11.0,Attività di biblioteche,Library activities,Bibliotheken,5,91.11,4
3026,91.11.00,Attività di biblioteche,Library activities,Bibliotheken,6,91.11.0,5
3027,91.12,Attività di archivi,Archive activities,Archive,4,91.1,3
3028,91.12.0,Attività di archivi,Archive activities,Archive,5,91.12,4
3029,91.12.00,Attività di archivi,Archive activities,Archive,6,91.12.0,5
3030,91.2,"Attività di musei, collezioni, luoghi e monumenti storici","Museum, collection, historical site and monument activities","Museen, Sammlungen, historische Stätten und Denkmäler",3,91,2
3031,91.21,Attività di musei e collezioni,Museum and collection activities,Museen und Sammlungen,4,91.2,3
3032,91.21.0,Attività di musei e collezioni,Museum and collection activities,Museen und Sammlungen,5,91.21,4
3033,91.21.00,Attività di musei e collezioni,Museum and collection activities,Museen und Sammlungen,6,91.21.0,5
3034,91.22,Attività di luoghi e monumenti storici,Historical site and monument activities,Historische Stätten und Denkmäler,4,91.2,3
3035,91.22.0,Attività di luoghi e monumenti storici,Historical site and monument activities,Historische Stätten und Denkmäler,5,91.22,4
3036,91.22.00,Attività di luoghi e monumenti storici,Historical site and monument activities,Historische Stätten und Denkmäler,6,91.22.0,5
3037,91.3,"Conservazione, restauro e altre attività di supporto al patrimonio culturale","Conservation, restoration and other support activities for cultural heritage","Konservierung, Restaurierung und sonstige unterstützende Tätigkeiten für das kulturelle Erbe",3,91,2
3038,91.30,"Conservazione, restauro e altre attività di supporto al patrimonio culturale","Conservation, restoration and other support activities for cultural heritage","Konservierung, Restaurierung und sonstige unterstützende Tätigkeiten für das kulturelle Erbe",4,91.3,3
3039,91.30.0,"Conservazione, restauro e altre attività di supporto al patrimonio culturale","Conservation, restoration and other support activities for cultural heritage","Konservierung, Restaurierung und sonstige unterstützende Tätigkeiten für das kulturelle Erbe",5,91.30,4
3040,91.30.01,Conservazione e restauro del patrimonio culturale,Conservation and restoration of cultural heritage,Konservierung und Restaurierung des kulturellen Erbes,6,91.30.0,5
3041,91.30.02,Creazione e gestione di apparecchiature multimediali per l'accompagnamento alle visite in musei e altri siti culturali,Creation and operation of multimedia equipment adapted for tours in museums and other cultural sites,Herstellung und Betrieb von multimedialen Geräten für Museums- und andere kulturelle Besichtigungen,6,91.30.0,5
3042,91.30.09,Altre attività di supporto al patrimonio culturale,Other support activities for cultural heritage,Sonstige unterstützende Tätigkeiten für das kulturelle Erbe,6,91.30.0,5
3043,91.4,"Attività di orti botanici, giardini zoologici e riserve e parchi naturali",Botanical and zoological garden and nature reserve activities,Botanische und zoologische Gärten sowie Naturparks,3,91,2
3044,91.41,Attività di orti botanici e giardini zoologici,Botanical and zoological garden activities,Botanische und zoologische Gärten,4,91.4,3
3045,91.41.0,Attività di orti botanici e giardini zoologici,Botanical and zoological garden activities,Botanische und zoologische Gärten,5,91.41,4
